station_id,date,pm025,pm100
1,2017-01-08,7.0,
1,2017-01-09,7.0,
1,2017-01-10,7.0,
1,2017-01-11,7.0,
1,2017-01-12,7.0,
1,2017-01-13,10.5,
1,2017-01-14,10.5,
1,2017-01-15,14.0,
1,2017-01-16,7.0,
1,2017-01-17,7.0,
1,2017-01-18,10.5,
1,2017-01-19,3.5,
1,2017-01-20,3.5,
1,2017-01-21,3.5,
1,2017-01-22,3.5,
1,2017-01-23,3.5,
1,2017-01-24,3.5,
1,2017-01-25,3.5,
1,2017-01-26,3.5,
1,2017-01-27,7.0,
1,2017-01-28,3.5,
1,2017-01-29,3.5,
1,2017-01-30,3.5,
1,2017-01-31,10.5,
1,2017-02-01,3.5,
1,2017-02-02,3.5,
1,2017-02-03,10.5,
1,2017-02-04,14.0,
1,2017-02-05,7.0,
1,2017-02-06,3.5,
1,2017-02-07,10.5,
1,2017-02-08,7.0,
1,2017-02-09,7.0,
1,2017-02-10,7.0,
1,2017-02-11,7.0,
1,2017-02-12,7.0,
1,2017-02-13,3.5,
1,2017-02-14,3.5,
1,2017-02-15,7.0,
1,2017-02-16,7.0,
1,2017-02-17,10.5,
1,2017-02-18,3.5,
1,2017-02-19,3.5,
1,2017-02-20,3.5,
1,2017-02-21,3.5,
1,2017-02-22,7.0,
1,2017-02-23,7.0,
1,2017-02-24,3.5,
1,2017-02-25,3.5,
1,2017-02-27,7.0,
1,2017-02-28,7.0,
1,2017-03-01,10.5,
1,2017-03-02,7.0,
1,2017-03-03,7.0,
1,2017-03-04,3.5,
1,2017-03-05,7.0,
1,2017-03-06,7.0,
1,2017-03-07,3.5,
1,2017-03-08,7.0,
1,2017-03-09,7.0,
1,2017-03-10,7.0,
1,2017-03-11,7.0,
1,2017-03-12,7.0,
1,2017-03-13,3.5,
1,2017-03-14,7.0,
1,2017-03-15,3.5,
1,2017-03-16,3.5,
1,2017-03-17,3.5,
1,2017-03-18,3.5,
1,2017-03-19,7.0,
1,2017-03-20,10.5,
1,2017-03-21,3.5,
1,2017-03-22,3.5,
1,2017-03-23,3.5,
1,2017-03-24,3.5,
1,2017-03-25,3.5,
1,2017-03-26,3.5,
1,2017-03-27,3.5,
1,2017-03-28,3.5,
1,2017-03-29,3.5,
1,2017-03-30,3.5,
1,2017-03-31,3.5,
1,2017-04-01,7.0,
1,2017-04-02,3.5,
1,2017-04-03,3.5,
1,2017-04-04,7.0,
1,2017-04-05,3.5,
1,2017-04-06,3.5,
1,2017-04-07,3.5,
1,2017-04-08,3.5,
1,2017-04-09,3.5,
1,2017-04-10,10.5,
1,2017-04-11,3.5,
1,2017-04-12,3.5,
1,2017-04-13,7.0,
1,2017-04-14,7.0,
1,2017-04-15,3.5,
1,2017-04-16,3.5,
1,2017-04-17,3.5,
1,2017-04-18,3.5,
1,2017-04-19,3.5,
1,2017-04-20,3.5,
1,2017-04-21,3.5,
1,2017-04-22,3.5,
1,2017-04-23,3.5,
1,2017-04-24,3.5,
1,2017-04-25,3.5,
1,2017-04-26,3.5,
1,2017-04-27,3.5,
1,2017-04-28,3.5,
1,2017-04-29,3.5,
1,2017-04-30,3.5,
1,2017-05-01,7.0,
1,2017-05-03,3.5,
1,2017-05-04,3.5,
1,2017-05-05,3.5,
1,2017-05-06,3.5,
1,2017-05-07,3.5,
1,2017-05-08,3.5,
1,2017-05-09,3.5,
1,2017-05-10,3.5,
1,2017-05-11,3.5,
1,2017-05-12,3.5,
1,2017-05-13,3.5,
1,2017-05-14,7.0,
1,2017-05-15,7.0,
1,2017-05-16,3.5,
1,2017-05-18,14.0,
1,2017-05-19,14.0,
1,2017-05-20,10.5,
1,2017-05-21,3.5,
1,2017-05-22,7.0,
1,2017-05-23,7.0,
1,2017-05-24,7.0,
1,2017-05-25,7.0,
1,2017-05-26,3.5,
1,2017-05-27,3.5,
1,2017-05-28,7.0,
1,2017-05-29,3.5,
1,2017-05-30,3.5,
1,2017-05-31,3.5,
1,2017-06-01,3.5,
1,2017-06-02,0.0,
1,2017-06-03,3.5,
1,2017-06-04,3.5,
1,2017-06-05,7.0,
1,2017-06-06,7.0,
1,2017-06-07,7.0,
1,2017-06-09,7.0,
1,2017-06-10,10.5,
1,2017-06-11,10.5,
1,2017-06-12,7.0,
1,2017-06-13,7.0,
1,2017-06-14,3.5,
1,2017-06-15,3.5,
1,2017-06-16,7.0,
1,2017-06-17,10.5,
1,2017-06-19,3.5,
1,2017-06-20,3.5,
1,2017-06-21,3.5,
1,2017-06-22,3.5,
1,2017-06-23,3.5,
1,2017-06-24,3.5,
1,2017-06-25,7.0,
1,2017-06-26,3.5,
1,2017-06-27,3.5,
1,2017-06-27,3.5,
1,2017-06-28,3.5,
1,2017-06-29,3.5,
1,2017-06-30,3.5,
1,2017-07-01,3.5,
1,2017-07-02,3.5,
1,2017-07-03,7.0,
1,2017-07-03,7.0,
1,2017-07-04,7.0,
1,2017-07-05,3.5,
1,2017-07-06,3.5,
1,2017-07-07,3.5,
1,2017-07-08,3.5,
1,2017-07-09,7.0,
1,2017-07-11,10.5,
1,2017-07-12,10.5,
1,2017-07-13,10.5,
1,2017-07-14,3.5,
1,2017-07-15,3.5,
1,2017-07-16,7.0,
1,2017-07-17,7.0,
1,2017-07-18,3.5,
1,2017-07-19,3.5,
1,2017-07-20,3.5,
1,2017-07-21,7.0,
1,2017-07-22,7.0,
1,2017-07-23,3.5,
1,2017-07-24,3.5,
1,2017-07-25,3.5,
1,2017-07-26,7.0,
1,2017-07-27,7.0,
1,2017-07-28,10.5,
1,2017-07-29,10.5,
1,2017-07-30,7.0,
1,2017-07-31,7.0,
1,2017-08-01,7.0,
1,2017-08-02,7.0,
1,2017-08-03,3.5,
1,2017-08-04,7.0,
1,2017-08-05,3.5,
1,2017-08-06,3.5,
1,2017-08-07,3.5,
1,2017-08-08,3.5,
1,2017-08-09,7.0,
1,2017-08-10,7.0,
1,2017-08-11,7.0,
1,2017-08-12,14.0,
1,2017-08-13,7.0,
1,2017-08-14,3.5,
1,2017-08-15,3.5,
1,2017-08-16,10.5,
1,2017-08-17,14.0,
1,2017-08-18,10.5,
1,2017-08-19,10.5,
1,2017-08-20,7.0,
1,2017-08-21,7.0,
1,2017-08-22,7.0,
1,2017-08-23,7.0,
1,2017-08-24,7.0,
1,2017-08-25,3.5,
1,2017-08-26,3.5,
1,2017-08-27,0.0,
1,2017-08-28,3.5,
1,2017-08-29,3.5,
1,2017-08-30,7.0,
1,2017-08-31,10.5,
1,2017-09-01,7.0,
1,2017-09-02,3.5,
1,2017-09-03,3.5,
1,2017-09-04,0.0,
1,2017-09-05,0.0,
1,2017-09-06,3.5,
1,2017-09-07,3.5,
1,2017-09-08,3.5,
1,2017-09-09,7.0,
1,2017-09-10,10.5,
1,2017-09-11,7.0,
1,2017-09-12,14.0,
1,2017-09-13,7.0,
1,2017-09-14,7.0,
1,2017-09-15,3.5,
1,2017-09-16,3.5,
1,2017-09-17,3.5,
1,2017-09-18,3.5,
1,2017-09-19,0.0,
1,2017-09-20,7.0,
1,2017-09-21,3.5,
1,2017-09-22,3.5,
1,2017-09-23,7.0,
1,2017-09-24,10.5,
1,2017-09-25,10.5,
1,2017-09-26,7.0,
1,2017-09-27,3.5,
1,2017-09-28,3.5,
1,2017-09-29,7.0,
1,2017-09-30,3.5,
1,2017-10-01,3.5,
1,2017-10-02,3.5,
1,2017-10-03,3.5,
1,2017-10-04,3.5,
1,2017-10-05,3.5,
1,2017-10-06,3.5,
1,2017-10-07,3.5,
1,2017-10-08,3.5,
1,2017-10-09,3.5,
1,2017-10-10,3.5,
1,2017-10-11,0.0,
1,2017-10-12,0.0,
1,2017-10-13,0.0,
1,2017-10-14,3.5,
1,2017-10-15,0.0,
1,2017-10-16,3.5,
1,2017-10-17,0.0,
1,2017-10-18,0.0,
1,2017-10-19,0.0,
1,2017-10-20,0.0,
1,2017-10-21,3.5,
1,2017-10-22,0.0,
1,2017-10-23,0.0,
1,2017-10-25,3.5,
1,2017-10-26,0.0,
1,2017-10-27,3.5,
1,2017-10-28,3.5,
1,2017-10-29,0.0,
1,2017-10-30,0.0,
1,2017-10-31,0.0,
1,2017-11-01,0.0,
1,2017-11-02,10.5,
1,2017-11-03,14.0,
1,2017-11-04,3.5,
1,2017-11-05,10.5,
